2023-07-02 09:07:18 INFO  ManageBrowser :32 - launching chrome browser
2023-07-02 09:07:909 INFO  Homepage :33 - Entering username : [[ChromeDriver: chrome on WINDOWS (2f364c41c348db3de8b360f17dfc2e4c)] -> name: username]
2023-07-02 09:07:84 INFO  Homepage :37 - Entering password : [[ChromeDriver: chrome on WINDOWS (2f364c41c348db3de8b360f17dfc2e4c)] -> name: password]
2023-07-02 09:07:666 INFO  Homepage :22 - Verify Dashboard text : [[ChromeDriver: chrome on WINDOWS (2f364c41c348db3de8b360f17dfc2e4c)] -> xpath: //h6[@class='oxd-text oxd-text--h6 oxd-topbar-header-breadcrumb-module']]
2023-07-02 09:07:964 INFO  ManageBrowser :32 - launching chrome browser
2023-07-02 09:07:572 INFO  Homepage :33 - Entering username : [[ChromeDriver: chrome on WINDOWS (b1671009e8006c355a12d5720a9a9077)] -> name: username]
2023-07-02 09:07:790 INFO  Homepage :37 - Entering password : [[ChromeDriver: chrome on WINDOWS (b1671009e8006c355a12d5720a9a9077)] -> name: password]
2023-07-02 09:07:850 INFO  Homepage :22 - Verify Dashboard text : [[ChromeDriver: chrome on WINDOWS (b1671009e8006c355a12d5720a9a9077)] -> xpath: //h6[@class='oxd-text oxd-text--h6 oxd-topbar-header-breadcrumb-module']]
2023-07-04 12:07:138 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:155 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (b570b2f2185da883600495db9d6277c4)] -> xpath: //input[@name='username']]
2023-07-04 12:07:289 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (b570b2f2185da883600495db9d6277c4)] -> xpath: //input[@name='password']]
2023-07-04 12:07:483 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (b570b2f2185da883600495db9d6277c4)] -> xpath: //input[@value='Log In']]
2023-07-04 12:07:110 INFO  HomePage :59 - Verify Text[[ChromeDriver: chrome on WINDOWS (b570b2f2185da883600495db9d6277c4)] -> xpath: //h1[@class='title']]
2023-07-04 12:07:48 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:371 INFO  HomePage :74 - Click on Register Button[[ChromeDriver: chrome on WINDOWS (398d10bfe83b62380afad4a00842a035)] -> link text: Register]
2023-07-04 12:07:899 INFO  HomePage :78 - Enter Firstname[[ChromeDriver: chrome on WINDOWS (398d10bfe83b62380afad4a00842a035)] -> id: customer.firstName]
2023-07-04 12:07:24 INFO  HomePage :82 - Enter Lastname[[ChromeDriver: chrome on WINDOWS (398d10bfe83b62380afad4a00842a035)] -> id: customer.lastName]
